iter	Passed	Remaining
868	14098	2044
869	14114	2027
870	14129	2011
871	14145	1995
872	14160	1978
873	14176	1962
874	14191	1946
875	14205	1929
876	14220	1913
877	14236	1897
878	14252	1880
879	14268	1864
880	14283	1848
881	14298	1831
882	14313	1815
883	14327	1799
884	14343	1782
885	14359	1766
886	14376	1750
887	14392	1734
888	14411	1718
889	14429	1702
890	14447	1686
891	14464	1670
892	14481	1654
893	14497	1637
894	14513	1621
895	14531	1605
896	14548	1589
897	14564	1573
898	14582	1557
899	14600	1541
900	14617	1525
901	14634	1508
902	14651	1492
903	14668	1476
904	14685	1460
905	14703	1444
906	14722	1428
907	14740	1412
908	14758	1396
909	14776	1380
910	14798	1364
911	14817	1348
912	14834	1332
913	14853	1316
914	14872	1300
915	14890	1284
916	14907	1268
917	14924	1251
918	14940	1235
919	14956	1219
920	14974	1203
921	14990	1186
922	15008	1170
923	15026	1154
924	15045	1138
925	15062	1122
926	15079	1106
927	15096	1089
928	15118	1074
929	15138	1058
930	15156	1041
931	15174	1025
932	15192	1009
933	15208	993
934	15223	976
935	15239	960
936	15254	944
937	15270	927
938	15285	911
939	15301	895
940	15317	879
941	15332	862
942	15347	846
943	15362	829
944	15378	813
945	15393	797
946	15409	781
947	15424	764
948	15439	748
949	15455	732
950	15469	715
951	15484	699
952	15499	683
953	15514	666
954	15530	650
955	15546	634
956	15561	617
957	15576	601
958	15591	585
959	15607	569
960	15623	552
961	15639	536
962	15654	520
963	15670	503
964	15685	487
965	15700	471
966	15716	455
967	15731	438
968	15746	422
969	15761	406
970	15776	389
971	15791	373
972	15807	357
973	15822	341
974	15837	324
975	15853	308
976	15868	292
977	15884	276
978	15899	259
979	15913	243
980	15928	227
981	15943	211
982	15958	194
983	15972	178
984	15988	162
985	16003	146
986	16018	129
987	16033	113
988	16049	97
989	16065	81
990	16081	64
991	16096	48
992	16112	32
993	16128	16
994	16143	0
